No,city,city2,hp1,hp2,h_mean,e_mean,s_mean,ed_mean,sf_mean,l_mean,en_mean,hp3
162,전라북도,순창군,c,0.4102,0.361,0.1177,0.5823,0.0539,0.5305,0.818,0.8585,0.8283
163,전라북도,고창군,c,0.4453,0.4619,0.1484,0.635,0.2517,0.4587,0.6402,0.7952,0.5407
164,전라북도,부안군,d,0.399,0.3843,0.129,0.4438,0.3643,0.4696,0.6294,0.6588,0.3969
165,전라남도,목포시,b,0.5435,0.6341,0.2837,0.6163,0.759,0.5033,0.4002,0.549,0.307
166,전라남도,여수시,c,0.4096,0.3527,0.5344,0.7349,0.3478,0.2859,0.4212,0.3839,0.6723
167,전라남도,순천시,b,0.506,0.3118,0.3924,0.7952,0.8416,0.4881,0.6732,0.7285,0.5973
168,전라남도,나주시,b,0.4338,0.4574,0.2988,0.3704,0.469,0.3256,0.6988,0.6215,0.7826
169,전라남도,광양시,d,0.3929,0.1424,0.6389,0.7399,0.4901,0.4471,0.6612,0.2171,0.4098
170,전라남도,담양군,b,0.4838,0.547,0.2121,0.7326,0.3737,0.4273,0.6318,0.6428,0.7329
171,전라남도,곡성군,c,0.4942,0.4416,0.0748,0.5911,0.778,0.4876,0.8735,0.8191,0.0302
172,전라남도,구례군,a,0.5721,0.6572,0.0555,0.6244,0.3922,0.796,0.743,0.8333,0.9492
173,전라남도,고흥군,c,0.429,0.4851,0.0151,0.1995,0.189,0.715,0.5015,0.8551,0.5679
