Figure 1.1.1. Chinese Equity Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. A-Share Price/Earnings Ratios,,,,,,,,,2. China: Equity Market Valuations Relative to Peers,,,,,3. China: Outstanding Amount of Margin Lending for Equities,,,,,4. Liquidity of Securities Firms,,,,,,,,,,5. Securities Firms’ Leverage,,,,,,,,,,,,,,,6. Trading Status of All A-Shares,,,,
   (Distribution; percent),,,,,,,,,    (Percent premium over peers),,,,,,,,,,    (Cash as a percentage of short-term debt),,,,,,,,,,    (Total common equity as a percentage of assets),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<0,0-10,42328,20-50,50-100,100-200,>200,,,,Emerging markets,Advanced economies,,,"Balance of margin purchase and short sale (billion renminbi, left scale)","Margin purchases (percent of total free-float market capitalization, right scale)",,,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,,,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,,,Suspended,Limit-up,Limit-down,Other traded A-shares
1/23/2014,14.04,5.14,14.68,34.06,18,8.5,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2014,14.07,5,14.27,34.03,18.47,8.51,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2014,14.07,5,14.43,34.14,18.14,8.59,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2014,14.18,5.02,14.3,34.23,18.32,8.28,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2014,14.17,4.92,14.17,34.19,18.37,8.49,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2014,14.21,4.99,14.25,33.97,18.44,8.46,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2014,14.21,4.99,14.25,33.97,18.44,8.46,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2014,14.21,4.99,14.25,33.97,18.44,8.46,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2014,14.21,4.99,14.25,33.97,18.44,8.46,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2014,14.21,4.99,14.25,33.97,18.44,8.46,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2014,14.21,4.99,14.25,33.97,18.44,8.46,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2014,14.21,4.99,13.97,33.69,18.56,8.7,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2014,14.21,4.79,13.01,34.01,18.92,8.98,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2014,14.25,4.71,12.89,34.04,18.87,9.06,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2014,14.24,4.63,12.64,34.14,18.87,9.21,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2014,14.24,4.71,13,34.22,18.79,8.9,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2014,14.24,4.71,12.52,34.06,18.99,9.09,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2014,14.24,4.47,12.37,33.43,19.66,9.33,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2014,14.16,4.51,12.25,33.71,19.35,9.53,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2014,14.16,4.55,12.05,34.1,19.19,9.33,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2014,14.14,4.62,12.51,34.1,18.92,9.36,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/2014,14.1,4.66,12.79,33.82,18.92,9.32,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2014,14.1,4.98,12.59,33.39,19.16,9.36,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2014,14.1,5.26,13.51,33.31,18.76,8.92,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2014,14.14,5.18,13.31,33.39,19,8.76,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2014,14.06,5.22,13.75,33.47,18.53,8.88,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2014,13.86,5.22,13.31,33.75,18.65,9.04,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2014,13.78,4.98,13.03,33.43,19.16,9.28,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2014,13.75,4.94,13.19,33.19,19.12,9.44,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2014,13.75,4.98,13.23,33.43,18.69,9.52,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2014,13.67,4.82,13.11,33.67,18.8,9.56,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2014,13.67,5.02,13.07,33.51,18.88,9.48,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2014,13.67,5.18,14.14,34.06,17.61,9.4,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2014,13.67,5.14,14.18,33.94,17.85,9.32,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2014,13.78,5.02,14.22,34.1,17.65,9.32,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2014,13.78,4.9,14.06,33.86,17.93,9.4,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2014,13.71,5.02,14.14,33.63,18.17,9.32,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2014,13.71,4.94,13.51,33.86,18.29,9.44,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2014,13.59,4.86,13.67,33.51,18.33,9.64,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2014,13.47,4.94,13.67,33.15,18.8,9.48,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
