,0,1
400,봉덕2점,대구광역시 남구 봉덕동 924-3
401,봉명동점,충청북도 청주시흥덕구 주현로25번길 20(봉명동)
402,봉산점,강원도 원주시 치악로 1867 (봉산동)
403,봉암리점,경기도 양주시 은현면 은현로 521
404,봉천현대점,"서울특별시 관악구 양녕로 35-1, 1층(봉천동)"
405,봉평점,강원도 평창군 봉평면 기풍3길 28
406,봉화점,경상북도 봉화군 봉화읍 내성리 236-17
407,부강점,세종특별자치시  부강면 부강2길 11
408,부개주공점,"인천광역시 부평구 부개로 79, (부개동,부개택지개발1블럭)"
409,부곡점(안산),경기도 안산시상록구 부곡동 685-11 안산제2종합시장 1003호
410,부곡점(의왕),경기도 의왕시 솔밭길 31
411,부론점,강원도 원주시 부론면 법천시장길 66-11
412,부발점,경기도 이천시 부발읍 무촌로 137
413,부산송정점,부산광역시 해운대구 송정중앙로 15-1
414,부산신평점,부산광역시 사하구 다대로142번길 130(신평동)
415,부산지사,   
416,부석점,경상북도 영주시 부석면 소천리 381-7
417,부송점,전라북도 익산시 부송1로 65
418,부안점,강원도 춘천시 후석로 261(후평동)
419,부여점,충청남도 부여군 부여읍 성왕로 173번길 12
420,부평점,"인천광역시 부평구 부평문화로115 17, 1층(부평동)"
421,북가좌1점,"서울특별시 서대문구 증가로20길 71, 1층(북가좌동)"
422,북가좌2점,서울특별시 서대문구 북가좌2동 107-1 1층
423,북문점,경기도 수원시장안구 팔달로259번길 9
424,북변점,경기도 김포시 북변동 688 대우아파트상가 111호
425,북부점(경주),경상북도 경주시 동부동 75-8
426,북부점(포항),경상북도 포항시북구 두호동 1035-7
427,북삼점,경상북도 칠곡군 북삼읍 평원2길 15
428,북평점,강원도 동해시 대동로 131(북평동)
429,분당동점,경기도 성남시분당구 분당동 39 샛별마을 삼부아파트상가 -101 1호
430,분평동점,충청북도 청주시서원구 청남로2005번길 27
431,불광동점,서울특별시 은평구 불광로 192
432,불노지구점,인천광역시 서구 검단로 842
433,불당점,충청남도 천안시서북구 불당동 1124
434,불로점,대구광역시 동구 불로동 1139-7
435,비래가양점,대전광역시 동구 가양2동 47-64
436,비산1동점,"경기도 안양시동안구 경수대로 946, 111호 (비산동, 대광로제비앙)"
437,비산삼호점,경기도 안양시동안구 비산동 377-4
438,비산점,대구광역시 서구 평리동 791-24
439,비산B점,대구광역시 서구 비산1동 723-1
440,비인점,충청남도 서천군 비인면 성내리 338-5
441,사당4점,서울특별시 동작구 사당동 1033-23
442,사동2점,"경기도 안산시상록구 감골로 43(사동, 102호)"
443,사동리점,경기도 이천시 대월면 사동로 162
444,사동점,경기도 안산시상록구 사동 1285-3
445,사북점,강원도 정선군 사북읍 사북중앙로 13
446,사우동점,강원도 춘천시 영서로 2818(사농동)
447,사우지구점,경기도 김포시 북변동 832 영풍아파트상가 104
448,사직점,부산광역시 동래구 사직동 19-45
449,사창동점,충청북도 청주시서원구 1순환로  698(사창동)
450,사창리점,강원도 화천군 사내면 사내로 47-1
451,산격점,대구광역시 북구 산격동 1232-3
452,산본13점,"경기도 군포시 산본동 1059 우성상가A동 8,9호"
453,산본3점,"경기도 군포시 광정로 25-16. 103호(금정동,퇴계종합상가)"
454,산본6점,"경기도 군포시 산본천로 34-5(산본동, 세종종합상가동101호)"
455,산본9점,경기도 군포시 산본동 수리산로203번안길 34 
456,산본리점,"경기도 군포시 금산로 62, 1층 (산본동)"
457,산북점,경기도 여주시 산북면 상품로 99
458,삼계점,경상남도 김해시 가야로147번길 12-1 
459,삼광점,강원도 원주시 행구로 107
460,삼동점,경기도 광주시 순암로 509(삼동)
461,삼방점,경상남도 김해시 삼안로235번길 14(삼방동668-17)
462,삼산점,인천광역시 부평구 삼산동 201-3
463,삼성동점,"서울특별시 강남구 영동대로112길 61, 1층(삼성동)"
464,삼송점,경기도 고양시덕양구 신도길 9
465,삼양동점,서울특별시 강북구 미아동 833-12
466,삼환대우점,인천광역시 연수구 원인재로 124
467,삽교점,충청남도 예산군 삽교읍 삽교로2길2
468,상계역점,"서울특별시 노원구 상계로23다길 4, 102호(상계동)"
